season,episode,title,date,rating, people

S1, E1, Rose,"Sat, Mar 26, 2005",7.5, (10K)

S1, E2, The End of the World,"Sat, Apr 2, 2005",7.5, (9.1K)

S1, E3, The Unquiet Dead,"Sat, Apr 9, 2005",7.4, (8.5K)

S1, E4, Aliens of London,"Sat, Apr 16, 2005",6.9, (8.3K)

S1, E5, World War Three,"Sat, Apr 23, 2005",7.0, (8K)

S1, E6, Dalek,"Sat, Apr 30, 2005",8.6, (9.1K)

S1, E7, The Long Game,"Sat, May 7, 2005",7.0, (7.9K)

S1, E8, Father's Day,"Sat, May 14, 2005",8.3, (8.7K)

S1, E9, The Empty Child,"Sat, May 21, 2005",9.0, (10K)

S1, E10, The Doctor Dances,"Sat, May 28, 2005",9.0, (9.6K)

S1, E11, Boom Town,"Sat, Jun 4, 2005",7.1, (7.5K)

S1, E12, Bad Wolf,"Sat, Jun 11, 2005",8.6, (8.5K)

S1, E13, The Parting of the Ways,"Sat, Jun 18, 2005",9.0, (9.1K)

S2, E0, The Christmas Invasion,"Sun, Dec 25, 2005",8.0, (8.5K)

S2, E1, New Earth,"Sat, Apr 15, 2006",7.4, (7.9K)

S2, E2, Tooth and Claw,"Sat, Apr 22, 2006",7.7, (8K)

S2, E3, School Reunion,"Sat, Apr 29, 2006",8.2, (8.5K)

S2, E4, The Girl in the Fireplace,"Sat, May 6, 2006",9.2, (13K)

S2, E5, Rise of the Cybermen,"Sat, May 13, 2006",7.7, (7.5K)

S2, E6, The Age of Steel,"Sat, May 20, 2006",7.8, (7.4K)

S2, E7, The Idiot's Lantern,"Sat, May 27, 2006",6.7, (7.6K)

S2, E8, The Impossible Planet,"Sat, Jun 3, 2006",8.6, (8.5K)

S2, E9, The Satan Pit,"Sat, Jun 10, 2006",8.7, (8.7K)

S2, E10, Love & Monsters,"Sat, Jun 17, 2006",6.2, (8.8K)

S2, E11, Fear Her,"Sat, Jun 24, 2006",5.8, (7.9K)

S2, E12, Army of Ghosts,"Sat, Jul 1, 2006",8.4, (7.8K)

S2, E13, Doomsday,"Sat, Jul 8, 2006",9.2, (10K)

S3, E0, The Runaway Bride,"Mon, Dec 25, 2006",7.6, (8K)

S3, E1, Smith and Jones,"Sat, Mar 31, 2007",7.9, (7.7K)

S3, E2, The Shakespeare Code,"Sat, Apr 7, 2007",7.6, (7.7K)

S3, E3, Gridlock,"Sat, Apr 14, 2007",8.0, (7.9K)

S3, E4, Daleks in Manhattan,"Sat, Apr 21, 2007",7.0, (7.3K)

S3, E5, Evolution of the Daleks,"Sat, Apr 28, 2007",6.9, (7.3K)

S3, E6, The Lazarus Experiment,"Sat, May 5, 2007",6.5, (7.3K)

S3, E7, 42,"Sat, May 19, 2007",7.2, (7.1K)

S3, E8, Human Nature,"Sat, May 26, 2007",8.9, (9.1K)

S3, E9, The Family of Blood,"Sat, Jun 2, 2007",9.2, (9.9K)

S3, E10, Blink,"Sat, Jun 9, 2007",9.8, (24K)

S3, E11, Utopia,"Sat, Jun 16, 2007",8.7, (8.1K)

S3, E12, The Sound of Drums,"Sat, Jun 23, 2007",8.7, (8.1K)

S3, E13, Last of the Time Lords,"Sat, Jun 30, 2007",8.3, (8.4K)

S4, E0, Voyage of the Damned,"Tue, Dec 25, 2007",7.6, (8K)

S4, E1, Partners in Crime,"Sat, Apr 5, 2008",7.7, (7.6K)

S4, E2, The Fires of Pompeii,"Sat, Apr 12, 2008",8.0, (7.8K)

S4, E3, Planet of the Ood,"Sat, Apr 19, 2008",8.0, (7.5K)

S4, E4, The Sontaran Stratagem,"Sat, Apr 26, 2008",7.4, (6.8K)

S4, E5, The Poison Sky,"Sat, May 3, 2008",7.5, (6.7K)

S4, E6, The Doctor's Daughter,"Sat, May 10, 2008",7.5, (7.5K)

S4, E7, The Unicorn and the Wasp,"Sat, May 17, 2008",7.7, (7.4K)

S4, E8, Silence in the Library,"Sat, May 31, 2008",9.3, (11K)

S4, E9, Forest of the Dead,"Sat, Jun 7, 2008",9.4, (11K)

S4, E10, Midnight,"Sat, Jun 14, 2008",9.1, (10K)

S4, E11, Turn Left,"Sat, Jun 21, 2008",8.9, (8.6K)

S4, E12, The Stolen Earth,"Sat, Jun 28, 2008",9.1, (8.4K)

S4, E13, Journey's End,"Sat, Jul 5, 2008",9.2, (9.6K)

S5, E1, The Eleventh Hour,"Sat, Apr 3, 2010",8.7, (9.5K)

S5, E2, The Beast Below,"Sat, Apr 10, 2010",7.6, (7.5K)

S5, E3, Victory of the Daleks,"Sat, Apr 17, 2010",6.6, (7.2K)

S5, E4, The Time of Angels,"Sat, Apr 24, 2010",8.6, (8.1K)

S5, E5, Flesh and Stone,"Sat, May 1, 2010",8.5, (7.5K)

S5, E6, The Vampires of Venice,"Sat, May 8, 2010",7.0, (7K)

S5, E7, Amy's Choice,"Sat, May 15, 2010",8.1, (7.4K)

S5, E8, The Hungry Earth,"Sat, May 22, 2010",7.1, (6.5K)

S5, E9, Cold Blood,"Sat, May 29, 2010",7.3, (6.5K)

S5, E10, Vincent and the Doctor,"Sat, Jun 5, 2010",9.3, (13K)

S5, E11, The Lodger,"Sat, Jun 12, 2010",8.0, (7.3K)

S5, E12, The Pandorica Opens,"Sat, Jun 19, 2010",9.0, (8.2K)

S5, E13, The Big Bang,"Sat, Jun 26, 2010",9.1, (8.4K)

S6, E0, A Christmas Carol,"Sat, Dec 25, 2010",8.5, (8.5K)

S6, E1, The Impossible Astronaut,"Sat, Apr 23, 2011",8.8, (8.2K)

S6, E2, Day of the Moon,"Sat, Apr 30, 2011",8.8, (7.7K)

S6, E3, The Curse of the Black Spot,"Sat, May 7, 2011",6.6, (6.7K)

S6, E4, The Doctor's Wife,"Sat, May 14, 2011",8.9, (8.9K)

S6, E5, The Rebel Flesh,"Sat, May 21, 2011",7.1, (6.1K)

S6, E6, The Almost People,"Sat, May 28, 2011",7.3, (6.1K)

S6, E7, A Good Man Goes to War,"Sat, Jun 4, 2011",9.0, (8.6K)

S6, E8, Let's Kill Hitler,"Sat, Aug 27, 2011",7.9, (6.9K)

S6, E9, Night Terrors,"Sat, Sep 3, 2011",7.0, (6K)

S6, E10, The Girl Who Waited,"Sat, Sep 10, 2011",8.4, (7K)

S6, E11, The God Complex,"Sat, Sep 17, 2011",8.0, (6.5K)

S6, E12, Closing Time,"Sat, Sep 24, 2011",7.5, (6.1K)

S6, E13, The Wedding of River Song,"Sat, Oct 1, 2011",8.4, (7.3K)

"S7, E0, "The Doctor, the Widow and the Wardrobe","Sun, Dec 25, 2011",7.1, (6.4K)

S7, E1, Asylum of the Daleks,"Sat, Sep 1, 2012",8.5, (8.2K)

S7, E2, Dinosaurs on a Spaceship,"Sat, Sep 8, 2012",7.2, (6.8K)

S7, E3, A Town Called Mercy,"Sat, Sep 15, 2012",7.2, (6.6K)

S7, E4, The Power of Three,"Sat, Sep 22, 2012",7.4, (6.4K)

S7, E5, The Angels Take Manhattan,"Sat, Sep 29, 2012",8.9, (9K)

S7, E6, The Snowmen,"Tue, Dec 25, 2012",8.3, (7.5K)

S7, E7, The Bells of Saint John,"Sat, Mar 30, 2013",7.8, (6.5K)

S7, E8, The Rings of Akhaten,"Sat, Apr 6, 2013",7.3, (7K)

S7, E9, Cold War,"Sat, Apr 13, 2013",7.1, (6.1K)

S7, E10, Hide,"Sat, Apr 20, 2013",7.6, (6K)

S7, E11, Journey to the Centre of the TARDIS,"Sat, Apr 27, 2013",7.4, (6.1K)

S7, E12, The Crimson Horror,"Sat, May 4, 2013",7.2, (5.8K)

S7, E13, Nightmare in Silver,"Sat, May 11, 2013",7.2, (5.9K)

S7, E14, The Name of the Doctor,"Sat, May 18, 2013",9.0, (8.6K)

S8, E0, The Time of the Doctor,"Wed, Dec 25, 2013",8.4, (7.8K)

S8, E1, Deep Breath,"Sat, Aug 23, 2014",7.8, (8.7K)

S8, E2, Into the Dalek,"Sat, Aug 30, 2014",7.5, (7K)

S8, E3, Robot of Sherwood,"Sat, Sep 6, 2014",6.9, (7.1K)

S8, E4, Listen,"Sat, Sep 13, 2014",8.8, (8.9K)

S8, E5, Time Heist,"Sat, Sep 20, 2014",7.8, (6.7K)

S8, E6, The Caretaker,"Sat, Sep 27, 2014",7.2, (5.9K)

S8, E7, Kill the Moon,"Sat, Oct 4, 2014",6.6, (6.7K)

S8, E8, Mummy on the Orient Express,"Sat, Oct 11, 2014",8.4, (6.7K)

S8, E9, Flatline,"Sat, Oct 18, 2014",8.3, (6.3K)

S8, E10, In the Forest of the Night,"Sat, Oct 25, 2014",6.1, (6.1K)

S8, E11, Dark Water,"Sat, Nov 1, 2014",8.5, (6.6K)

S8, E12, Death in Heaven,"Sat, Nov 8, 2014",7.8, (6.3K)

S9, E0, Last Christmas,"Thu, Dec 25, 2014",8.1, (6.3K)

S9, E1, The Magician's Apprentice,"Sat, Sep 19, 2015",8.4, (6.8K)

S9, E2, The Witch's Familiar,"Sat, Sep 26, 2015",8.4, (6.1K)

S9, E3, Under the Lake,"Sat, Oct 3, 2015",8.1, (5.9K)

S9, E4, Before the Flood,"Sat, Oct 10, 2015",8.0, (5.6K)

S9, E5, The Girl Who Died,"Sat, Oct 17, 2015",7.4, (5.6K)

S9, E6, The Woman Who Lived,"Sat, Oct 24, 2015",7.3, (5.5K)

S9, E7, The Zygon Invasion,"Sat, Oct 31, 2015",7.7, (5.4K)

S9, E8, The Zygon Inversion,"Sat, Nov 7, 2015",8.4, (5.8K)

S9, E9, Sleep No More,"Sat, Nov 14, 2015",5.8, (5.8K)

S9, E10, Face the Raven,"Sat, Nov 21, 2015",8.5, (6.4K)

S9, E11, Heaven Sent,"Sat, Nov 28, 2015",9.6, (13K)

S9, E12, Hell Bent,"Sat, Dec 5, 2015",8.6, (7.2K)

S10, E0, The Return of Doctor Mysterio,"Sun, Dec 25, 2016",7.3, (5.9K)

S10, E1, The Pilot,"Sat, Apr 15, 2017",7.8, (5.8K)

S10, E2, Smile,"Sat, Apr 22, 2017",7.2, (5.1K)

S10, E3, Thin Ice,"Sat, Apr 29, 2017",7.2, (4.9K)

S10, E4, Knock Knock,"Sat, May 6, 2017",7.3, (4.8K)

S10, E5, Oxygen,"Sat, May 13, 2017",7.9, (5K)

S10, E6, Extremis,"Sat, May 20, 2017",8.3, (5.1K)

S10, E7, The Pyramid at the End of the World,"Sat, May 27, 2017",7.6, (4.5K)

S10, E8, The Lie of the Land,"Sat, Jun 3, 2017",7.1, (4.4K)

S10, E9, Empress of Mars,"Sat, Jun 10, 2017",7.0, (4.3K)

S10, E10, The Eaters of Light,"Sat, Jun 17, 2017",6.8, (4.3K)

S10, E11, World Enough and Time,"Sat, Jun 24, 2017",9.1, (6K)

S10, E12, The Doctor Falls,"Sat, Jul 1, 2017",9.0, (6K)

S11, E0, Twice Upon a Time,"Mon, Dec 25, 2017",8.3, (7.7K)

S11, E1, The Woman Who Fell to Earth,"Sun, Oct 7, 2018",7.0, (11K)

S11, E2, The Ghost Monument,"Sun, Oct 14, 2018",6.1, (8.9K)

S11, E3, Rosa,"Sun, Oct 21, 2018",7.1, (10K)

S11, E4, Arachnids in the UK,"Sun, Oct 28, 2018",5.1, (8.3K)

S11, E5, The Tsuranga Conundrum,"Sun, Nov 4, 2018",5.1, (7.7K)

S11, E6, Demons of the Punjab,"Sun, Nov 11, 2018",6.6, (7.9K)

S11, E7, Kerblam!,"Sun, Nov 18, 2018",6.3, (7K)

S11, E8, The Witchfinders,"Sun, Nov 25, 2018",5.8, (6.6K)

S11, E9, It Takes You Away,"Sun, Dec 2, 2018",6.3, (6.4K)

S11, E10, The Battle of Ranskoor Av Kolos,"Sun, Dec 9, 2018",5.3, (5.9K)

S12, E1, Spyfall: Part One,"Wed, Jan 1, 2020",6.7, (6.6K)

S12, E2, Spyfall: Part Two,"Sun, Jan 5, 2020",6.5, (6K)

S12, E3, Orphan 55,"Sun, Jan 12, 2020",4.2, (6.7K)

S12, E4, Nikola Tesla's Night of Terror,"Sun, Jan 19, 2020",6.6, (5.5K)

S12, E5, Fugitive of the Judoon,"Sun, Jan 26, 2020",7.6, (6K)

S12, E6, Praxeus,"Sun, Feb 2, 2020",5.2, (5K)

S12, E7, Can You Hear Me?,"Sun, Feb 9, 2020",5.7, (4.6K)

S12, E8, The Haunting of Villa Diodati,"Sun, Feb 16, 2020",7.2, (4.9K)

S12, E9, Ascension of the Cybermen,"Sun, Feb 23, 2020",6.6, (4.5K)

S12, E10, The Timeless Children,"Sun, Mar 1, 2020",5.1, (6.3K)

S13, E1, Flux: Chapter One - The Halloween Apocalypse,"Sun, Oct 31, 2021",6.7, (4.7K)

S13, E2, Flux: Chapter Two - War of the Sontarans,"Sun, Nov 7, 2021",7.1, (3.8K)

S13, E3, Flux: Chapter Three - Once, Upon Time, "Sun, Nov 14, 2021",6.0, (3.5K)

S13, E4, Flux: Chapter Four - Village of the Angels,"Sun, Nov 21, 2021",7.7, (3.8K)

S13, E5, Flux: Chapter Five - Survivors of the Flux,"Sun, Nov 28, 2021",6.2, (3.2K)

S13, E6, Flux: Chapter Six - The Vanquishers,"Sun, Dec 5, 2021",5.4, (3.3K)

The Next Doctor,"Thu, Dec 25, 2008",7.4, (5.6K)

Planet of the Dead,"Sat, Apr 11, 2009",7.4, (5.6K)

The Waters of Mars,"Sun, Nov 15, 2009",8.8, (7.2K)

The End of Time: Part One,"Fri, Dec 25, 2009",8.2, (6.5K)

The End of Time: Part Two,"Fri, Jan 1, 2010",8.9, (7.2K)

The Day of the Doctor,"Sat, Nov 23, 2013",9.3, (20K)

The Husbands of River Song,"Fri, Dec 25, 2015",8.5, (6.4K)

Resolution,"Tue, Jan 1, 2019",6.0, (5.8K)

Revolution of the Daleks,"Fri, Jan 1, 2021",6.0, (4.2K)

Eve of the Daleks,"Sat, Jan 1, 2022",6.7, (3.4K)

Legend of the Sea Devils,"Sun, Apr 17, 2022",4.6, (3.2K)

The Power of the Doctor,"Sun, Oct 23, 2022",7.6, (4.1K)

